publishedAt,title,source,date

2025-07-09,"Indian stock market braces for volatile session after fresh copper, pharma tariffs",Bloomberg
2025-07-10,Indian IPOs set to raise up to $18 billion in second-half surge,Bloomberg
2025-07-10,Sluggish loan growth drags Indian banks’ bond sales to 11-year low,Bloomberg
2025-07-10,JM Financial sees Indian IPOs adding $3 trillion market value over decade,Bloomberg
2025-07-16,Schneider in talks to buy Temasek’s stake in Indian JV for $1 billion,Bloomberg
